Group,alpha_diversity,min,q1,median,mean,q3,max,sd
Healthy,obs_richness,25,41,54,50.27272727272727,59.5,67,12.985306381375135
SpA,obs_richness,6,19,33.5,38.92307692307692,48.75,165,33.2673089707275
Healthy,read_count,3003,6140.5,6899,7441,9064,11563,2381.5839687065413
SpA,read_count,52,395.5,1274,4100.7307692307695,3682.75,53152,10285.42948663863
Healthy,shannon_e,1.0050883237512909,1.1141124485894158,1.2155395018508428,1.2418865478162524,1.3719460008639666,1.467244810418141,0.15593074022000325
SpA,shannon_e,0.20934431847273252,1.2939842483606172,2.141180632443734,2.050539233617873,2.609976259972478,3.9248446165300064,0.9562058352217834
Healthy,simpson,0.34321465549698793,0.38639305710045,0.4040383666605365,0.4351717624424032,0.4822727767292938,0.6321900838936905,0.08185199587283357
SpA,simpson,0.05675269393563098,0.585387610271204,0.7580918507868204,0.7005662868775187,0.8872747933844607,0.9648690748065548,0.2418327516369815
