featureid	CR0118-D02	CR0119-D03	CR097-A1	CR098-A2	CR099-A3	CR1-A1	CR10-A10	CR100-A4	CR101-A5	CR102-A6	CR103-A7	CR104-A8	CR105-A9	CR106-A10	CR107-A11	CR108-A12	CR109-B1	CR11-A11	CR110-B2	CR111-B3	CR112-B4	CR113-B5	CR115-B7	CR116-B8	CR12-A12	CR120-D04	CR121-D05	CR122-D06	CR123-D07	CR124-D08	CR126-D10	CR127-D11	CR134-E06	CR136-E08	CR14-B2	CR140-E12	CR142-F02	CR15-B3	CR16-B4	CR17-B5	CR18-B6	CR19-B7	CR2-A2	CR20-B8	CR21-B9	CR22-B10	CR23-B11	CR24-B12	CR25-C1	CR26-C2	CR27-C3	CR28-C4	CR3-A3	CR30-C6	CR31-C7	CR32-C8	CR33-C9	CR34-C10	CR35-C11	CR36-C12	CR37-D1	CR38-D2	CR39-D3	CR4-A4	CR40-D4	CR41-D5	CR42-D6	CR43-D7	CR44-D8	CR45-D9	CR46-D10	CR47-D11	CR48-D12	CR49-E1	CR5-A5	CR50-E2	CR51-E3	CR52-E4	CR53-E5	CR54-E6	CR55-E7	CR56-E8	CR57-E9	CR58-E10	CR59-E11	CR6-A6	CR60-E12	CR61-F1	CR62-F2	CR63-F3	CR65-F5	CR66-F6	CR67-F7	CR68-F8	CR69-F9	CR7-A7	CR70-F10	CR71-F11	CR72-F12	CR73-G1	CR74-G2	CR75-G3	CR76-G4	CR78-G6	CR8-A8	CR80-G8	CR81-G9	CR82-G10	CR83-G11	CR84-G12	CR85-H1	CR86-H2	CR87-H3	CR88-H4	CR89-H5	CR9-A9	CR90-H6	CR91-H7	CR92-H8	CR93-H9	CR94-H10	CR95-H11	CR96-H12	FeBAL1	FeBAL10	FeBAL11	FeBAL2	FeBAL3	FeBAL4	FeBAL5	FeBAL6	FeBAL7	FeBAL8	FeBAL9
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pasteurellales;D_4__Pasteurellaceae;D_5__Gallibacterium	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	0	67	0	0	0	0	0	0	0	124	0	42	0	0	23	0	0	3	33	2	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	59	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	81	0	307	0	0	108	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	163	0	0	141	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides	0	1	1	9	26	4	28	14	17	11	45	13	20	4	5	2	54	31	21	112	36	16	18	47	0	0	5	2	1	26	8	0	1	0	62	0	4	2	22	48	0	38	33	145	0	10	68	22	6	37	2	0	2	0	4	15	0	18	17	2	4	337	2	15	26	19	7	11	38	30	16	328	0	23	74	79	0	30	150	0	10	57	0	5	215	0	0	1	112	0	72	0	9	42	0	0	18	35	0	4	86	0	40	0	12	8	0	24	176	0	2	25	0	17	78	0	0	31	67	0	25	206	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pasteurellales;D_4__Pasteurellaceae	0	0	153	60	10	12	111	30	65	48	37	65	73	17	35	0	0	0	0	0	0	0	0	1	0	0	100	0	0	0	17	0	0	0	0	0	2	0	56	0	0	95	0	0	0	25	0	0	19	0	0	0	0	0	35	0	0	153	0	0	31	0	0	72	56	0	0	72	0	0	45	0	0	80	0	0	0	60	0	0	57	0	0	133	0	0	0	22	3	0	0	0	80	0	0	0	161	0	0	82	0	0	120	0	0	0	0	101	0	0	12	0	0	43	0	0	0	144	0	0	226	0	0	1	0	0	0	0	0	0	0	1	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Tyzzerella 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	39	1	40	0	0	21	1	2	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	16	0	0	4	2	0	0	42	26	0	91	2	2	0	0	0	0	0	0	0	3	0	62	0	0	0	0	9	0	45	0	0	120	0	0	60	19	0	0	111	0	0	221	0	0	26	0	0	0	46	0	7	0	0	0	0	0	0	125	0	0	29	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Moraxella;Ambiguous_taxa	0	0	174	197	34	19	150	193	105	104	104	85	129	13	504	0	0	0	0	0	0	0	0	1	0	0	109	2	0	0	7	0	0	0	0	0	0	0	97	1	2	115	0	0	0	72	0	0	24	0	0	5	0	0	78	0	0	73	0	0	66	0	0	69	141	0	0	86	0	0	123	0	0	99	0	0	0	43	0	0	88	0	0	22	0	0	0	9	0	0	0	0	81	0	0	0	91	0	0	247	0	0	101	0	0	0	0	155	1	0	16	0	0	30	0	7	0	169	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Atopobiaceae;D_5__Olsenella;D_6__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	106	0	0	189	45	0	0	18	13	0	44	7	0	0	0	0	58	0	0	42	0	0	27	0	1	0	56	2	0	136	0	1	0	1	0	54	6	0	0	1	0	0	0	0	0	22	0	0	0	12	0	2	0	0	8	0	1	0	1	0	0	5	0	0	0	96	0	0	0	1	0	0	4	0	0	33	0	0	0	32	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;D_6__Bacteroides plebeius DSM 17135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	6	45	14	10	33	2	78	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	1	0	0	24	3	0	0	62	30	0	44	1	0	0	0	0	6	0	0	5	0	0	90	0	0	0	3	8	0	13	0	0	176	0	0	67	3	0	0	26	0	0	12	0	0	93	0	0	0	7	0	3	0	0	0	0	0	0	69	1	0	6	0	0	0	26	3	0	2	84	0	0	0	0	0	3	0	0	0	3	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae;D_5__Escherichia-Shigella	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	114	6	0	125	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	3	1	6	51	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	6	56	0	0	165	0	1	24	0	0	1	0	0	0	0	0	46	0	0	0	0	0	0	28	0	0	21	0	0	0	35	247	0	0	5	0	0	9	0	0	0	0	0	0	3	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonas;Ambiguous_taxa	0	0	0	11	29	0	32	26	31	39	52	28	51	0	4	9	1	25	29	0	6	3	229	0	0	0	42	0	0	0	6	0	0	0	15	0	0	0	1	37	0	2	4	188	0	11	10	2	11	0	0	1	0	0	0	2	0	13	13	0	5	10	0	19	27	2	0	11	14	0	1	3	0	47	0	62	0	24	6	0	18	4	0	2	4	0	0	0	27	0	6	0	16	325	0	0	42	13	0	3	14	0	43	0	1	183	0	38	11	0	0	61	0	16	54	1	0	43	103	2	32	235	0	0	0	0	0	0	1	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium	0	0	4	13	2	0	0	15	5	22	2	8	8	8	5	10	20	0	15	164	64	7	6	16	2	2	0	1	4	4	0	0	0	0	4	0	0	13	3	112	6	1	28	36	7	1	6	6	1	19	15	1	10	0	0	26	13	1	5	8	1	3	0	1	0	26	2	0	174	3	2	0	0	0	28	4	0	0	5	0	0	8	0	1	30	3	0	0	12	0	2	0	0	11	0	8	0	0	2	0	5	0	1	0	87	4	0	0	3	0	3	1	0	2	10	0	0	0	35	0	0	0	0	1	0	0	0	0	0	1	6	0	0	0
